Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,FLEX Proj
QB,Patrick Mahomes (30189987),Patrick Mahomes,30189987,CPT,19200,DEN@KC 10/12/2023 08:15PM ET,KC,21.18,23.956
TE,Travis Kelce (30189988),Travis Kelce,30189988,CPT,16500,DEN@KC 10/12/2023 08:15PM ET,KC,16.8,19.224
QB,Russell Wilson (30189989),Russell Wilson,30189989,CPT,14400,DEN@KC 10/12/2023 08:15PM ET,DEN,21.26,16.92
RB,Isiah Pacheco (30189990),Isiah Pacheco,30189990,CPT,14100,DEN@KC 10/12/2023 08:15PM ET,KC,14.88,15.75
WR,Jerry Jeudy (30189991),Jerry Jeudy,30189991,CPT,13500,DEN@KC 10/12/2023 08:15PM ET,DEN,9.45,12.086
QB,Patrick Mahomes (30190044),Patrick Mahomes,30190044,FLEX,12800,DEN@KC 10/12/2023 08:15PM ET,KC,21.18,23.956
WR,Courtland Sutton (30189992),Courtland Sutton,30189992,CPT,11700,DEN@KC 10/12/2023 08:15PM ET,DEN,11.98,10.97
TE,Travis Kelce (30190045),Travis Kelce,30190045,FLEX,11000,DEN@KC 10/12/2023 08:15PM ET,KC,16.8,19.224
RB,Javonte Williams (30189993),Javonte Williams,30189993,CPT,10800,DEN@KC 10/12/2023 08:15PM ET,DEN,7.48,9.826
RB,Jaleel McLaughlin (30189994),Jaleel McLaughlin,30189994,CPT,10500,DEN@KC 10/12/2023 08:15PM ET,DEN,9.12,4.94
QB,Russell Wilson (30190046),Russell Wilson,30190046,FLEX,9600,DEN@KC 10/12/2023 08:15PM ET,DEN,21.26,16.92
WR,Rashee Rice (30189995),Rashee Rice,30189995,CPT,9600,DEN@KC 10/12/2023 08:15PM ET,KC,9.2,7.484
RB,Isiah Pacheco (30190047),Isiah Pacheco,30190047,FLEX,9400,DEN@KC 10/12/2023 08:15PM ET,KC,14.88,15.75
WR,Jerry Jeudy (30190048),Jerry Jeudy,30190048,FLEX,9000,DEN@KC 10/12/2023 08:15PM ET,DEN,9.45,12.086
QB,Blaine Gabbert (30189996),Blaine Gabbert,30189996,CPT,9000,DEN@KC 10/12/2023 08:15PM ET,KC,-0.86,0
QB,Jarrett Stidham (30189997),Jarrett Stidham,30189997,CPT,9000,DEN@KC 10/12/2023 08:15PM ET,DEN,0,0
QB,Chris Oladokun (30189998),Chris Oladokun,30189998,CPT,9000,DEN@KC 10/12/2023 08:15PM ET,KC,0,0
QB,Ben DiNucci (30189999),Ben DiNucci,30189999,CPT,9000,DEN@KC 10/12/2023 08:15PM ET,DEN,0,0
DST,Chiefs  (30190000),Chiefs ,30190000,CPT,8400,DEN@KC 10/12/2023 08:15PM ET,KC,7.2,0
WR,Skyy Moore (30190001),Skyy Moore,30190001,CPT,8100,DEN@KC 10/12/2023 08:15PM ET,KC,5.92,6.53
WR,Courtland Sutton (30190049),Courtland Sutton,30190049,FLEX,7800,DEN@KC 10/12/2023 08:15PM ET,DEN,11.98,10.97
RB,Jerick McKinnon (30190002),Jerick McKinnon,30190002,CPT,7800,DEN@KC 10/12/2023 08:15PM ET,KC,6.04,5.796
RB,Samaje Perine (30190003),Samaje Perine,30190003,CPT,7500,DEN@KC 10/12/2023 08:15PM ET,DEN,7.92,7.418
RB,Javonte Williams (30190050),Javonte Williams,30190050,FLEX,7200,DEN@KC 10/12/2023 08:15PM ET,DEN,7.48,9.826
K,Harrison Butker (30190004),Harrison Butker,30190004,CPT,7200,DEN@KC 10/12/2023 08:15PM ET,KC,9.2,9.3
RB,Jaleel McLaughlin (30190051),Jaleel McLaughlin,30190051,FLEX,7000,DEN@KC 10/12/2023 08:15PM ET,DEN,9.12,4.94
WR,Marvin Mims Jr. (30190005),Marvin Mims Jr.,30190005,CPT,6900,DEN@KC 10/12/2023 08:15PM ET,DEN,9.98,5.178
TE,Noah Gray (30190006),Noah Gray,30190006,CPT,6600,DEN@KC 10/12/2023 08:15PM ET,KC,5.86,4.412
WR,Rashee Rice (30190052),Rashee Rice,30190052,FLEX,6400,DEN@KC 10/12/2023 08:15PM ET,KC,9.2,7.484
K,Wil Lutz (30190007),Wil Lutz,30190007,CPT,6300,DEN@KC 10/12/2023 08:15PM ET,DEN,7.4,6.798
QB,Blaine Gabbert (30190053),Blaine Gabbert,30190053,FLEX,6000,DEN@KC 10/12/2023 08:15PM ET,KC,-0.86,0
QB,Jarrett Stidham (30190054),Jarrett Stidham,30190054,FLEX,6000,DEN@KC 10/12/2023 08:15PM ET,DEN,0,0
QB,Chris Oladokun (30190055),Chris Oladokun,30190055,FLEX,6000,DEN@KC 10/12/2023 08:15PM ET,KC,0,0
QB,Ben DiNucci (30190056),Ben DiNucci,30190056,FLEX,6000,DEN@KC 10/12/2023 08:15PM ET,DEN,0,0
WR,Kadarius Toney (30190008),Kadarius Toney,30190008,CPT,6000,DEN@KC 10/12/2023 08:15PM ET,KC,4.52,7.178
